Index of pulse,Tpi,Tpp,Tsys,Tdia,Tsp,Tdp,deltaT,Tsw10,Tsw25,Tsw33,Tsw50,Tsw66,Tsw75,Tsw90,Tdw10,Tdw25,Tdw33,Tdw50,Tdw66,Tdw75,Tdw90,Tpw10,Tpw25,Tpw33,Tpw50,Tpw66,Tpw75,Tpw90,Asp,Adn,Adp,Aoff,AUCpi,AUCsys,AUCdia
145,0.5919999999999987,0.6000000000000085,0.352,0.17599999999999877,0.1599999999999966,0.416,0.2560000000000034,0.12000000000000455,0.09600000000000364,0.08799999999999386,0.07200000000000273,0.06399999999999295,0.04800000000000182,0.031999999999996476,0.35999999999999943,0.14400000000000546,0.12000000000000455,0.08800000000000807,0.07200000000000273,0.055999999999997385,0.031999999999996476,0.480000000000004,0.2400000000000091,0.2079999999999984,0.1600000000000108,0.13599999999999568,0.1039999999999992,0.06399999999999295,1.6180735565731106,0.3228340809931159,0.024144158695646567,0.006238372001244108,-91.67655944479871,-40.958629775735815,-50.7179296690629
146,0.6080000000000041,0.5919999999999987,0.336,0.1920000000000041,0.16800000000000637,0.416,0.24799999999999361,0.12000000000000455,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.056000000000011596,0.04800000000000182,0.03200000000001069,0.37599999999999056,0.27199999999999136,0.11999999999999034,0.08799999999999386,0.06399999999999295,0.055999999999997385,0.031999999999996476,0.4959999999999951,0.367999999999995,0.2079999999999984,0.1599999999999966,0.12000000000000455,0.1039999999999992,0.06400000000000716,1.6839355178865019,0.39971884413875514,0.10087597332430054,0.048225895096217775,11.632397619403415,6.206650745357566,5.425746874045849
147,0.583999999999989,0.5919999999999987,0.328,0.19999999999998896,0.15200000000000102,0.384,0.23199999999999898,0.11200000000000898,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.056000000000011596,0.04800000000000182,0.03200000000001069,0.37599999999999056,0.27199999999999136,0.1280000000000001,0.09599999999998943,0.07199999999998852,0.055999999999997385,0.031999999999996476,0.48799999999999955,0.367999999999995,0.21600000000000819,0.16799999999999216,0.1280000000000001,0.1039999999999992,0.06400000000000716,1.4760716252342383,0.31294656836112744,0.00791003975178306,-0.0915754119924932,9.249200107877746,5.276555795772255,3.9726443121054906
148,0.5840000000000032,0.5919999999999987,0.344,0.19200000000000317,0.1600000000000108,0.392,0.23199999999998921,0.12000000000000455,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.06400000000000716,0.04800000000000182,0.03200000000001069,0.35999999999999943,0.19999999999998863,0.1280000000000001,0.09599999999998943,0.07199999999998852,0.055999999999997385,0.031999999999996476,0.480000000000004,0.29599999999999227,0.21600000000000819,0.16799999999999216,0.13599999999999568,0.1039999999999992,0.06400000000000716,1.710071971715755,0.4576533871266687,0.10658339969698127,0.046284357130640164,11.569948608447072,6.578603676169107,4.991344932277966
149,0.6000000000000085,0.5919999999999987,0.328,0.24800000000000855,0.16800000000000637,0.352,0.1839999999999936,0.12000000000000455,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.06400000000000716,0.055999999999997385,0.031999999999996476,0.3359999999999985,0.1599999999999966,0.1280000000000001,0.09600000000000364,0.07200000000000273,0.055999999999997385,0.031999999999996476,0.45600000000000307,0.2560000000000002,0.21600000000000819,0.16800000000000637,0.1360000000000099,0.11199999999999477,0.06399999999999295,1.6333522758423158,0.39132938534050365,0.13840847318026406,-0.010203997141049803,5.824607813657402,3.796442878116303,2.028164935541099
150,0.5999999999999943,0.5919999999999987,0.328,0.16799999999999432,0.1599999999999966,0.432,0.2720000000000034,0.11200000000000898,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.055999999999997385,0.04800000000000182,0.02400000000000091,0.367999999999995,0.1280000000000001,0.11199999999999477,0.08799999999999386,0.06399999999999295,0.055999999999997385,0.031999999999996476,0.480000000000004,0.22400000000000375,0.20000000000000284,0.1599999999999966,0.11999999999999034,0.1039999999999992,0.055999999999997385,1.573320928797251,0.40262665930494523,0.20648780524684884,0.20251062918481388,10.192474360670007,5.5295563554837255,4.662918005186281
151,0.5919999999999987,0.5840000000000032,0.344,0.18399999999999878,0.1599999999999966,0.408,0.24800000000000338,0.12000000000000455,0.09600000000000364,0.08799999999999386,0.07200000000000273,0.055999999999997385,0.04800000000000182,0.031999999999996476,0.367999999999995,0.24800000000000466,0.1280000000000001,0.09600000000000364,0.07200000000000273,0.06400000000000716,0.04000000000000625,0.48799999999999955,0.3440000000000083,0.21599999999999397,0.16800000000000637,0.1280000000000001,0.11200000000000898,0.07200000000000273,1.684361901296903,0.4452353494682252,0.10415065613819141,0.06439721920250441,11.000119391964702,6.234714422677833,4.76540496928687
152,0.5919999999999987,0.5999999999999943,0.344,0.19199999999999873,0.15200000000000102,0.4,0.247999999999999,0.11200000000000898,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.055999999999997385,0.04800000000000182,0.031999999999996476,0.35999999999999943,0.15200000000000102,0.1280000000000001,0.1039999999999992,0.0799999999999983,0.06399999999999295,0.03999999999999204,0.4720000000000084,0.24800000000000466,0.21600000000000819,0.17600000000000193,0.13599999999999568,0.11199999999999477,0.07199999999998852,1.5636893114459482,0.34542159427871166,0.09060440402076964,0.041853654217350655,11.607540312481186,6.490724982213123,5.116815330268063
153,0.5919999999999987,0.5919999999999987,0.336,0.16799999999999876,0.1600000000000108,0.424,0.2639999999999892,0.11200000000000898,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.056000000000011596,0.04800000000000182,0.03200000000001069,0.37599999999999056,0.13599999999999568,0.11999999999999034,0.08799999999999386,0.07199999999998852,0.055999999999997385,0.031999999999996476,0.48799999999999955,0.23199999999999932,0.2079999999999984,0.1599999999999966,0.1280000000000001,0.1039999999999992,0.06400000000000716,1.3657069368022652,0.18016898030670736,-0.08387962240147961,-0.0939845773129307,9.321354560644307,5.360107549187687,3.9612470114566207
154,0.592000000000013,0.5919999999999987,0.344,0.16800000000001297,0.1600000000000108,0.424,0.2639999999999892,0.12000000000000455,0.09600000000000364,0.08800000000000807,0.07200000000000273,0.06400000000000716,0.055999999999997385,0.03200000000001069,0.367999999999995,0.14399999999999125,0.11999999999999034,0.09599999999998943,0.07200000000000273,0.055999999999997385,0.031999999999996476,0.48799999999999955,0.23999999999999488,0.2079999999999984,0.16799999999999216,0.1360000000000099,0.11199999999999477,0.06400000000000716,1.4385079484343941,0.2285276603578389,-0.04907670515542861,-0.05679604116887749,8.962017479478762,5.330169273544401,3.631848205934361
