Index of pulse,IPR,Tsys/Tdia,Tpw25/Tpi,Tpw50/Tpi,Tpw75/Tpi,Tpw25/Tsp,Tpw50/Tsp,Tpw75/Tsp,Tdw10/Tsw10,Tdw25/Tsw25,Tdw33/Tsw33,Tdw50/Tsw50,Tdw66/Tsw66,Tdw75/Tsw75,Tdw90/Tsw90,Tsp/Tpi,Asp/Aoff,Adp/Asp,IPA,Tsp/Asp,Asp/deltaT,Asp/(Tpi-Tsp)
31,101.35135135135157,1.9545454545454286,0.4054054054054012,0.28378378378378144,0.17567567567567965,1.5789473684210318,1.1052631578947245,0.684210526315803,3.2857142857142176,1.4999999999999816,1.36363636363636,1.3333333333333497,1.2857142857142494,1.166666666666642,1.0,0.25675675675675746,-2.8517291740319344,-0.003327522597331664,0.295262409330308,0.10232977241503942,5.626491314984716,3.3758947889908066
32,98.6842105263157,1.8695652173913258,0.3866666666666669,0.26666666666666783,0.18666666666666454,1.5263157894737052,1.0526315789473868,0.7368421052631591,3.2142857142857575,1.6363636363637062,1.6000000000000356,1.5,1.2857142857143944,1.3333333333333828,1.6666666666669627,0.25333333333333,-2.917787896715404,0.004007130683125741,0.16475590267317622,0.09694150395876777,5.939226773317322,3.499901491419166
33,97.40259740259745,1.7916666666666614,0.3815789473684196,0.27631578947368274,0.1710526315789459,1.4499999999999944,1.0499999999999945,0.6499999999999945,2.9999999999999702,1.4166666666666574,1.36363636363636,1.3333333333333497,1.2857142857142494,1.1666666666667282,1.0,0.2631578947368421,-3.0959106715881792,0.02257013443724383,-0.6086600230554404,0.09591625149358,6.516101184811568,3.72348639132089
34,101.35135135135096,1.7916666666666614,0.3815789473684196,0.2631578947368421,0.1710526315789459,1.380952380952383,0.9523809523809574,0.6190476190476171,2.9333333333333984,1.4166666666666574,1.2727272727273315,1.2222222222222496,1.1428571428571972,1.1666666666667282,1.0,0.27631578947368274,-3.015573651444015,0.02570427009568152,-2.6990816033112517,0.10421703767712409,6.5000826154493545,3.6636829287078183
35,100.00000000000036,2.0476190476190625,0.39189189189189155,0.28378378378378916,0.18918918918919275,1.5263157894736694,1.1052631578947478,0.7368421052631653,3.2857142857142176,1.6363636363635996,1.5999999999999646,1.333333333333284,1.4285714285713742,1.333333333333284,1.666666666666568,0.256756756756759,-2.884285715465784,0.0017423453290744508,-0.19855589155509545,0.09749915517259689,5.731573042069123,3.54315424418819
36,98.6842105263157,1.9999999999999836,0.40000000000000235,0.2799999999999981,0.18666666666666343,1.500000000000011,1.0499999999999945,0.6999999999999889,3.2857142857143535,1.5000000000000184,1.45454545454544,1.3333333333333497,1.2857142857142494,1.3333333333333828,1.2499999999999722,0.2666666666666663,-2.8135509169557094,-0.02106548123963366,0.5121620896070657,0.0951378902003485,6.37033893419666,3.8222033605179826
37,98.6842105263157,1.913043478260873,0.4025974025974046,0.28571428571428326,0.18181818181818496,1.4761904761904894,1.0476190476190426,0.6666666666666807,3.1333333333333178,1.3846153846154134,1.2500000000000093,1.2000000000000266,1.1249999999999862,1.0,1.0,0.27272727272727165,-2.8947947204719635,0.029474609599692662,1.7293975893926081,0.10047302108904509,6.333676736958561,3.732345219993445
38,99.99999999999976,1.826086956521725,0.5999999999999976,0.280000000000004,0.18666666666666934,2.2499999999999947,1.0500000000000167,0.7000000000000111,3.1333333333333178,2.4615384615384825,1.2500000000000093,1.0999999999999868,1.0,1.0,1.0,0.2666666666666663,-2.9684919474060028,0.038788398418357434,1.7171936115069835,0.09683610379116354,6.454204325980257,3.7551734260248635
39,101.35135135135157,1.9545454545454681,0.4054054054054036,0.28378378378378316,0.17567567567567471,1.499999999999989,1.0499999999999945,0.6499999999999945,2.933333333333282,1.4999999999999816,1.3636363636363196,1.3333333333332347,1.2857142857142494,1.166666666666568,1.0,0.27027027027027106,-2.7289619522055877,-0.0028794977425258142,0.2972116361066064,0.10181428702658955,6.138627674491082,3.6377052885873176
40,100.00000000000036,2.0000000000000138,0.4054054054054036,0.28378378378378316,0.18918918918919275,1.499999999999989,1.0499999999999945,0.7000000000000111,2.9999999999999702,1.4999999999999816,1.45454545454544,1.3333333333333497,1.2857142857142494,1.333333333333284,1.2499999999999722,0.27027027027027106,-2.8844691878051805,0.001987069223870166,0.22335132720046932,0.09365710580400942,6.673279028159388,3.9545357203907585
41,102.7397260273967,2.0000000000000044,0.3698630136986322,0.27397260273972646,0.17808219178082066,1.2857142857142978,0.9523809523809574,0.6190476190476171,2.800000000000077,1.2500000000000093,1.2727272727273315,1.2222222222222496,1.2857142857143944,1.1666666666667282,1.0,0.28767123287671126,-3.15142255387465,0.02901024227552277,1.0506596479549601,0.09721543974926908,6.968228057043768,4.154135957083793
42,100.00000000000036,1.6799999999999953,0.6578947368421023,0.27631578947368857,0.1710526315789459,2.3809523809523325,1.0,0.619047619047604,3.199999999999947,3.1666666666666483,1.45454545454544,1.333333333333284,1.2857142857142494,1.166666666666568,1.0,0.27631578947368857,-2.695335754003247,0.02233142972622963,0.6688744856016877,0.10099494433880514,6.931040009802352,3.780567278073985
43,101.35135135135096,1.7199999999999802,0.3918918918918892,0.27027027027026945,0.18918918918919161,1.4499999999999944,1.0,0.7000000000000111,2.933333333333312,1.4166666666666574,1.36363636363636,1.2222222222222496,1.0,1.0,1.0,0.27027027027026945,-2.865710259901505,0.06406217488598549,0.9730728634962239,0.09774957932332565,7.055326244756779,3.7889715018138053
44,100.00000000000036,1.7916666666666863,0.4133333333333307,0.27999999999999975,0.18666666666667045,1.5499999999999834,1.0499999999999945,0.7000000000000111,3.066666666666629,1.5833333333333055,1.4545454545453995,1.3333333333332347,1.1249999999999862,1.333333333333284,1.0,0.26666666666666783,-3.0087401030488197,0.04632186155506105,1.2463022563529103,0.09775687180664251,6.599651547756905,3.719803599644818
